VM Name,Container,Protection Domain,Host Placement,Power State,Network adapters,IP Address(es),vCPUs,vRAM (GB),Disk Count,Provisioned Space (GB),Used Space (GB)
NTNXMCS005,CTR01,,NTNXKB-A,on,1,"fe80::d5e4:4b63:6724:d07d/64,10.68.68.117/22",2,2,2,40,40
NTNXMCSXA21,CTR01,,NTNXKB-C,off,1,,4,4,2,50,18
Foundation_VM-3.5,CTR01,,NTNXKB-A,on,1,,1,2,1,30,19
CONTW7PVS001,CTR01,,NTNXKB-A,off,1,,2,2,1,10,0
CONTMSF001,CTR01,,NTNXKB-C,on,1,"fe80::5145:8a89:47b9:db07/64,10.68.68.65/24",4,4,2,50,17
8CPU8GB001,CTR01,,NTNXKB-C,off,1,,8,12,2,50,15
FlexDiskHost-Dia-00,NA,,NTNXKB-A,off,0,,1,0,0,0,0
CONTMXD002,CTR01,,NTNXKB-B,on,1,"fe80::2864:19ce:6428:3f41/64,10.68.68.200/22",4,6,2,50,17
CONTMVW002,CTR01,,NTNXKB-C,off,1,,4,16,1,50,16
CONTLKMS001,CTR01,,NTNXKB-C,on,1,"10.68.68.128/22,fe80::250:56ff:fe90:712f/64",1,0,1,30,1
CONTMAP003,CTR01,,NTNXKB-A,on,1,"fe80::97f:f23e:1ef3:f918/64,10.68.68.74/22",4,4,2,50,16
CONTMXD004,CTR01,,NTNXKB-A,on,1,"fe80::8590:978b:f27a:6016/64,10.68.68.90/22",4,4,2,50,23
CONTLCALM001,CTR01,,NTNXKB-A,on,1,,2,8,2,100,9
CONTMIOT001,CTR01,,NTNXKB-A,on,1,"fe80::f893:e833:ea75:1d68/64,10.68.68.87/22",4,4,2,50,16
NTNX-14SM36510084-B-CVM,NA,,NTNXKB-B,on,2,"10.68.68.32/22,10.68.68.30/32,fe80::20c:29ff:fec9:3da7/64,192.168.5.2/25,192.168.5.254/32,fe80::20c:29ff:fec9:3db1/64",8,32,0,0,0
CONTMXD005,CTR01,,NTNXKB-A,off,1,,2,4,2,50,19
CONTMPVS001,CTR01,,NTNXKB-A,on,1,"fe80::544d:a530:59b3:6025/64,10.68.68.59/22",2,8,2,350,44
CONTMPVS002,CTR01,,NTNXKB-A,on,1,"fe80::61c7:ac2c:2677:ca12/64,10.68.68.92/24",2,8,3,250,30
Windows7-FullC1,CTR01,,NTNXKB-A,off,1,,2,4,5,231,16
CONTMAP004,CTR01,,NTNXKB-A,off,1,,2,6,2,50,26
NTNXMCS001,CTR01,,NTNXKB-A,on,2,"fe80::88e1:e367:ea60:67fd/64,10.68.76.176/24,fe80::d928:fb81:e727:d6a4/64,10.68.68.129/22",2,2,2,40,15
CONTMAP002,CTR01,,NTNXKB-C,on,1,"fe80::f4d4:cbdf:607a:898b/64,10.68.68.67/22",2,8,1,50,26
NTNX-14SM36510084-A-CVM,NA,,NTNXKB-A,on,2,"10.68.68.31/22,fe80::20c:29ff:fe60:e26e/64,192.168.5.2/25,192.168.5.254/32,fe80::20c:29ff:fe60:e278/64",8,32,0,0,0
CONTMSCOM001,CTR01,,NTNXKB-A,on,1,"fe80::1418:668a:4837:abff/64,10.68.68.91/22",4,4,2,50,25
NTNXMCS004,CTR01,,NTNXKB-A,on,1,"fe80::a0e2:2d08:7b3e:99fb/64,10.68.68.114/22",2,2,2,40,2
NTNX-14SM36510084-C-CVM,NA,,NTNXKB-C,on,2,"10.68.68.33/22,fe80::20c:29ff:fe53:6203/64,192.168.5.2/25,192.168.5.254/32,fe80::20c:29ff:fe53:620d/64",8,32,0,0,0
CONTLCXM001,CTR01,,NTNXKB-C,on,1,10.68.68.79/22,2,4,1,50,1
CONTW7PVS002,CTR01,,NTNXKB-A,off,1,,2,2,1,10,0
CONTMDC001,CTR01,,NTNXKB-A,on,1,"fe80::7590:716e:840d:2496/64,10.68.68.51/22",2,4,1,50,30
NTNXMCSXA01,CTR01,,NTNXKB-C,on,1,"fe80::39ac:91ce:bd76:a9e/64,10.68.68.116/22",8,8,2,50,21
DockerQA1,NTNX-NFS-DEFAULT,,NTNXKB-A,on,1,"10.68.68.103/22,fe80::250:56ff:fe90:d7a/64",1,2,2,50,3
CONTMCSF001,CTR01,,NTNXKB-B,on,1,"fe80::306e:13ed:7f6f:6aeb/64,10.68.68.82/22",2,4,3,350,16
