"VM Name","Container","Secondary Container","Protection Domain","Host Placement","Power State","IP Address(es)","vCPUs","vRAM","Provisioned Space in GB","Used Space"
"NTNXMCS005","CTR01","CTR01","","NTNXKB-A","on","fe80::d5e4:4b63:6724:d07d/64,10.68.68.117/22","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"NTNXMCSXA21","CTR01","CTR01","","NTNXKB-C","off","","4","4","50","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTW7_XD77","CTR01","CTR01","","NTNXKB-C","off","","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"TMP02","CTR01","CTR01","","NTNXKB-C","on","fe80::a131:29a5:63de:57b8/64,10.68.68.107/22","2","2","60","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTMPVS001","CTR01","CTR01","","NTNXKB-A","on","fe80::544d:a530:59b3:6025/64,10.68.68.59/22","2","8","350","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTMPVS002","CTR01","CTR01","","NTNXKB-A","on","fe80::61c7:ac2c:2677:ca12/64,10.68.68.92/24","2","8","250","Nutanix.Prism.Base.StatsSpecificResponse"
"FC001","CTR01","CTR01","","NTNXKB-C","off","","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"Windows7-FullC1","CTR01","CTR01","","NTNXKB-A","off","","2","4","231","Nutanix.Prism.Base.StatsSpecificResponse"
"NTNXMCS001","CTR01","CTR01","","NTNXKB-A","on","fe80::88e1:e367:ea60:67fd/64,10.68.76.176/24,fe80::d928:fb81:e727:d6a4/64,10.68.68.129/22","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"NTNXMCS005","CTR01","CTR01","","NTNXKB-A","on","fe80::d5e4:4b63:6724:d07d/64,10.68.68.117/22","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"NTNXMCSXA21","CTR01","CTR01","","NTNXKB-C","off","","4","4","50","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTW7_XD77","CTR01","CTR01","","NTNXKB-C","off","","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"TMP02","CTR01","CTR01","","NTNXKB-C","on","fe80::a131:29a5:63de:57b8/64,10.68.68.107/22","2","2","60","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTMPVS001","CTR01","CTR01","","NTNXKB-A","on","fe80::544d:a530:59b3:6025/64,10.68.68.59/22","2","8","350","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTMPVS002","CTR01","CTR01","","NTNXKB-A","on","fe80::61c7:ac2c:2677:ca12/64,10.68.68.92/24","2","8","250","Nutanix.Prism.Base.StatsSpecificResponse"
"FC001","CTR01","CTR01","","NTNXKB-C","off","","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"Windows7-FullC1","CTR01","CTR01","","NTNXKB-A","off","","2","4","231","Nutanix.Prism.Base.StatsSpecificResponse"
"NTNXMCS001","CTR01","CTR01","","NTNXKB-A","on","fe80::88e1:e367:ea60:67fd/64,10.68.76.176/24,fe80::d928:fb81:e727:d6a4/64,10.68.68.129/22","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
